year,sector_crf,category_crf,activity_crf,pollutant,co2_eq
2016,CRF 2 Procesos industriales y uso de productos,2.A. Productos minerales,2A4b Otros usos de carbonato sódico ,CO2,9.761091
2016,CRF 2 Procesos industriales y uso de productos,2.C. Producción metalúrgica,2C1a Producción de acero,CO2,18.7156375292
2016,CRF 2 Procesos industriales y uso de productos,2.D. Productos no energéticos y uso de disolventes,2D1 Uso de lubricantes,CO2,40.839875
2016,CRF 2 Procesos industriales y uso de productos,2.D. Productos no energéticos y uso de disolventes,2D2 Uso de parafinas,CO2,3.596665
2016,CRF 2 Procesos industriales y uso de productos,2.D. Productos no energéticos y uso de disolventes,2D3d Catalizadores con base en urea ,CO2,5.271773
2016,CRF 2 Procesos industriales y uso de productos,2.F. Consumo de gases fluorados,2F1a Regrigeración comercial,HFC,8.5211937532
2016,CRF 2 Procesos industriales y uso de productos,2.F. Consumo de gases fluorados,2F1a Regrigeración comercial,HFC,84.3725873424
2016,CRF 2 Procesos industriales y uso de productos,2.F. Consumo de gases fluorados,2F1a Regrigeración comercial,HFC,42.0707671488
2016,CRF 2 Procesos industriales y uso de productos,2.F. Consumo de gases fluorados,2F1a Regrigeración comercial,HFC,93.9038632945
2016,CRF 2 Procesos industriales y uso de productos,2.F. Consumo de gases fluorados,2F1a Regrigeración comercial,HFC,22.4001430393
2016,CRF 2 Procesos industriales y uso de productos,2.F. Consumo de gases fluorados,2F1b Refrigeración doméstica,HFC,5.5497736112
2016,CRF 2 Procesos industriales y uso de productos,2.F. Consumo de gases fluorados,2F1c Refrigeración industrial,HFC,16.9411853497
2016,CRF 2 Procesos industriales y uso de productos,2.F. Consumo de gases fluorados,2F1c Refrigeración industrial,PFC,0.7251525001
2016,CRF 2 Procesos industriales y uso de productos,2.F. Consumo de gases fluorados,2F1c Refrigeración industrial,HFC,52.2670004237
2016,CRF 2 Procesos industriales y uso de productos,2.F. Consumo de gases fluorados,2F1c Refrigeración industrial,HFC,0.0552964856
2016,CRF 2 Procesos industriales y uso de productos,2.F. Consumo de gases fluorados,2F1c Refrigeración industrial,HFC,3.2849843759
2016,CRF 2 Procesos industriales y uso de productos,2.F. Consumo de gases fluorados,2F1c Refrigeración industrial,HFC,0.0811930466
2016,CRF 2 Procesos industriales y uso de productos,2.F. Consumo de gases fluorados,2F1c Refrigeración industrial,HFC,162.6374270352
2016,CRF 2 Procesos industriales y uso de productos,2.F. Consumo de gases fluorados,2F1c Refrigeración industrial,HFC,80.1140495493
2016,CRF 2 Procesos industriales y uso de productos,2.F. Consumo de gases fluorados,2F1c Refrigeración industrial,HFC,247.2568007346
2016,CRF 2 Procesos industriales y uso de productos,2.F. Consumo de gases fluorados,2F1c Refrigeración industrial,PFC,0.0624784479
2016,CRF 2 Procesos industriales y uso de productos,2.F. Consumo de gases fluorados,2F1d Refrigeración para el transporte,HFC,2.1494784827
2016,CRF 2 Procesos industriales y uso de productos,2.F. Consumo de gases fluorados,2F1d Refrigeración para el transporte,HFC,6.6716923871
2016,CRF 2 Procesos industriales y uso de productos,2.F. Consumo de gases fluorados,2F1d Refrigeración para el transporte,HFC,3.84649644
2016,CRF 2 Procesos industriales y uso de productos,2.F. Consumo de gases fluorados,2F1e Aire acondicionado móvil,HFC,168.5308374074
2016,CRF 2 Procesos industriales y uso de productos,2.F. Consumo de gases fluorados,2F1f Aire acondicionado estacionario,HFC,60.8997240741
2016,CRF 2 Procesos industriales y uso de productos,2.F. Consumo de gases fluorados,2F1f Aire acondicionado estacionario,HFC,22.7204913299
2016,CRF 2 Procesos industriales y uso de productos,2.F. Consumo de gases fluorados,2F1f Aire acondicionado estacionario,HFC,12.4182398476
2016,CRF 2 Procesos industriales y uso de productos,2.F. Consumo de gases fluorados,2F2a Agentes espumantes Celulas cerradas,HFC,1.494654304
2016,CRF 2 Procesos industriales y uso de productos,2.F. Consumo de gases fluorados,2F2a Agentes espumantes Celulas cerradas,HFC,3.7651175521
2016,CRF 2 Procesos industriales y uso de productos,2.F. Consumo de gases fluorados,2F2a Agentes espumantes Celulas cerradas,HFC,2.2850675708
2016,CRF 2 Procesos industriales y uso de productos,2.F. Consumo de gases fluorados,2F2a Agentes espumantes Celulas cerradas,HFC,0.0010736584
2016,CRF 2 Procesos industriales y uso de productos,2.F. Consumo de gases fluorados,2F3a Protección contra incendios/Fabricación,HFC,3.07648e-05
2016,CRF 2 Procesos industriales y uso de productos,2.F. Consumo de gases fluorados,2F3a Protección contra incendios/Fabricación,HFC,0.0662577707
2016,CRF 2 Procesos industriales y uso de productos,2.F. Consumo de gases fluorados,2F3b Protección contra incendios/Stock,HFC,0.2570093889
2016,CRF 2 Procesos industriales y uso de productos,2.F. Consumo de gases fluorados,2F3b Protección contra incendios/Stock,HFC,6.9515249781
2016,CRF 2 Procesos industriales y uso de productos,2.F. Consumo de gases fluorados,2F3b Protección contra incendios/Stock,HFC,10.8084622816
2016,CRF 2 Procesos industriales y uso de productos,2.F. Consumo de gases fluorados,2F3b Protección contra incendios/Stock,HFC,0.0026036379
2016,CRF 2 Procesos industriales y uso de productos,2.F. Consumo de gases fluorados,2F3b Protección contra incendios/Stock,PFC,0.0057142028
2016,CRF 2 Procesos industriales y uso de productos,2.F. Consumo de gases fluorados,2F4a Inhanadores de dosis medidas,HFC,32.7639863551
2016,CRF 2 Procesos industriales y uso de productos,2.F. Consumo de gases fluorados,2F4b otros aerosoles,HFC,3.3230694016
2016,CRF 2 Procesos industriales y uso de productos,2.F. Consumo de gases fluorados,2F4b otros aerosoles,HFC,0.3832799098
2016,CRF 2 Procesos industriales y uso de productos,2.G. Otras fuentes de emisión de procesos industriales,2G1a Equipos eléctricos/Fabricación,SF6,2.2486370505
2016,CRF 2 Procesos industriales y uso de productos,2.G. Otras fuentes de emisión de procesos industriales,2G1b Equipos eléctricos/Stock,SF6,24.85157242
