id;lugar_infr;utm_x;utm_y
209;M30PK4.100L INT C2;443791.67;4477846
210;M30PK6.800L INT C1;444002.07;4475190.82
211;M30PK6.800L INT C2;444002.07;4475190.82
212;M30PK3.500L EXT C1;443787.77;4478456.23
213;M30PK3.500L EXT C2;443787.77;4478456.23
214;M30PK2.400L EXT C1;443519.84;4479391.7
215;M30PK2.400L EXT C2;443519.84;4479391.7
216;M30PK2.400L INT C1;443412.35;4479506.63
217;M30PK2.400L INT C2;443412.35;4479506.63
218;M30PK3.300L INT C1;443690.59;4478613.37
219;M30PK3.300L INT C2;443690.59;4478613.37
220;A2PK4.750 ENT C1;444363.04;4477498.28
221;A2PK4.750 ENT C2;444363.04;4477498.28
222;M30PK6.700L EXT C1;444035.74;4475314.45
223;M30PK6.700L EXT C2;444035.74;4475314.45
224;M30PK9.600L EXT C1;443395.09;4472550.34
225;M30PK9.600L EXT C2;443395.09;4472550.34
226;M30PK9.200L INT C1;443593.85;4473273.48
227;M30PK9.200L INT C2;443593.85;4473273.48
228;A3PK5.000L ENT C1;444994.31;4472350.29
229;A4PK5.300 ENT C1;442243.64;4469336.85
230;A4PK5.300 ENT C2;442243.64;4469336.85
231;M30PK13.200C EXT C1;441108.37;4470724.02
232;M30PK13.200C EXT C2;441108.37;4470724.02
233;M30PK13.200C EXT C3;441108.37;4470724.02
234;MARQUES DE VADILLO C1;439271.02;4472116.92
235;MARQUES DE VADILLO C2;439271.02;4472116.92
236;A42PK2.700 ENT C1;440023.53;4471583.59
237;A42PK2.700 ENT C2;440023.53;4471583.59
238;AV ANDALUCIA-VIRGEN CRUCES C1;441150.89;4469986.83
239;AV ANDALUCIA-VIRGEN CRUCES C2;441150.89;4469986.83
240;A5PK3.400 ENT C1;437073.2;4473448.69
241;A5PK3.400 ENT C2;437073.2;4473448.69
242;M30PK19.400C EXT C1;438020.56;4475136.77
243;M30PK19.400C EXT C2;438020.56;4475136.77
244;M30PK22.400C EXT C1;437121.98;4477854.63
245;M30PK22.400C EXT C2;437121.98;4477854.63
246;M30PK22.400C EXT C3;437121.98;4477854.63
247;M30PK24.700C EXT C1;436428.67;4479988.18
248;M30PK24.700C EXT C2;436428.67;4479988.18
249;M30PK24.700C EXT C3;436428.67;4479988.18
250;M30 PK21.800C INT C1;437296.78;4477350.52
251;M30 PK21.800C INT C2;437296.78;4477350.52
252;M30PK28.700C EXT C1;439529.14;4481303.79
253;M30PK28.700C EXT C2;439529.14;4481303.79
254;M30 PK25.800C INT C1;436877.16;4480671.97
255;M30 PK25.800C INT C2;436877.16;4480671.97
256;M30 PK29.600C INT C1;440314.86;4481510.29
257;C DE RIVAS 27;450361.77;4471857.18
257;M30 PK29.600C INT C2;440314.86;4481510.29
258;C DE RIVAS 2;449704.99;4472480.95
259;C MINERVA 38;448704.63;4472107.32
260;C MINERVA 81;448692.54;4472077.32
261;AV CANILLEJAS V - VICALVARADA;448251.01;4473460.36
262;C VILLABLANCA 60;448970.65;4473001.31
263;C VILLABLANCA 79;449004.4;4473009.07
264;BLV JOSE PRAT 11 C1;447064.98;4472141.46
265;BLV JOSE PRAT 11 C2;447064.98;4472141.46
266;BLV JOSE PRAT 12 C1;447040.45;4472080.7
267;BLV JOSE PRAT 12 C2;447040.45;4472080.7
268;CRTA VILLAVERDE A VALLECAS 284;445917.65;4469394.74
269;C GONZALEZ DAVILA 9;445838.92;4469496.21
270;C REAL DE ARGANDA 65 C1;448716.41;4469695.79
271;C REAL DE ARGANDA 65 C2;448716.41;4469695.79
272;C REAL DE ARGANDA 72 C1;448469.96;4469806.48
273;C REAL DE ARGANDA 72 C2;448469.96;4469806.48
274;AV ENSANCHE DE VALLECAS 33 C2;448277.96;4468849.84
275;AV ENSANCHE DE VALLECAS 33 C1;448277.96;4468849.84
276;AV ENSANCHE DE VALLECAS 41 C1;448662.71;4468607.88
277;AV ENSANCHE DE VALLECAS 41 C2;448660.93;4468596.23
278;AV ENSANCHE DE VALLECAS 41 C3;448660.93;4468596.23
279;AV ENSANCHE DE VALLECAS 52 C1;448646.43;4468574.13
280;AV ENSANCHE DE VALLECAS 52 C2;448651.75;4468582.64
281;AV ENSANCHE DE VALLECAS 52 C3;448651.75;4468582.64
282;CRTA VILLAVERDE A VALLECAS 253;443604.91;4468793.34
283;AV DE LA ALBUFERA 306;446223.4;4470608.59
284;AV DE LA ALBUFERA 393;445996.27;4470763.74
285;AV DE ENTREVIAS 80 ACERA IMPAR;443477.39;4470080.41
286;AV DE ENTREVIAS 80;443500.44;4470052.04
287;AV BUENOS AIRES 46;444563.31;4470929.49
288;AV BUENOS AIRES 39;444579.15;4470890.18
289;AV DE LA ALBUFERA 71;443724.1;4471825
290;AV DE LA ALBUFERA 78;443723.14;4471822.12
291;C DE SIERRA TOLEDANA 15;443957.24;4472484.4
292;C DE SIERRA TOLEDANA 14;443960.42;4472455.18
293;AV P NERUDA B PALENCIA IMP C1;445652.49;4471701.55
294;AV P NERUDA B PALENCIA IMP C2;445652.49;4471701.55
295;C FUENTE CARRANTONA 2;445751.42;4471931.17
296;CMNO DE LOS VINATEROS 53;444526.2;4473543.71
297;CMNO DE LOS VINATEROS 46;444529.18;4473533.59
298;AV DR GARCIA TAPIA 139 C1;445987.25;4473319.25
