district_id,expected_saving_kg,expected_capex_eur,tech,saving_per_eur,capex_eur_kw,efficiency_cop,adoption_rate,OPEX,expected_capex_eur_subsidized,total_cost,weighted_saving
17,3667490.8377862745,11369333.536401564,gas_boiler,0.32257746912287777,600,0.9,0.3,0.0,10232400.182761408,10232400.182761408,1100247.2513358823
18,4519470.65213938,17994006.330172796,gas_boiler,0.25116533634652666,600,0.9,0.3,0.0,16194605.697155517,16194605.697155517,1355841.1956418138
19,2205091.583689998,4208610.435872664,gas_boiler,0.5239476585655445,600,0.9,0.3,0.0,3787749.3922853973,3787749.3922853973,661527.4751069994
20,5083901.873119147,21326969.276655383,gas_boiler,0.2383790123749094,600,0.9,0.3,0.0,19194272.348989844,19194272.348989844,1525170.561935744
21,2711235.4459898197,11357621.50014083,gas_boiler,0.23871507304202744,600,0.9,0.3,0.0,10221859.350126749,10221859.350126749,813370.6337969459
1,29000579.04235212,69729805.85604472,biomass_boiler,0.4158993229125436,1000,0.85,0.3,0.0,62756825.27044025,62756825.27044025,8700173.712705636
2,13312136.019077815,37450905.97979253,biomass_boiler,0.35545564708796834,1000,0.85,0.3,0.0,33705815.38181327,33705815.38181327,3993640.8057233444
3,17123801.81853512,42605657.34863613,biomass_boiler,0.40191380403812216,1000,0.85,0.3,0.0,38345091.61377252,38345091.61377252,5137140.545560536
4,14287539.355312742,40011469.48880477,biomass_boiler,0.3570860940088792,1000,0.85,0.3,0.0,36010322.539924294,36010322.539924294,4286261.806593822
5,51459472.619684964,130021885.78244984,biomass_boiler,0.39577546741466263,1000,0.85,0.3,0.0,117019697.20420486,117019697.20420486,15437841.785905488
6,33812626.584855415,84380825.12623307,biomass_boiler,0.400714576259144,1000,0.85,0.3,0.0,75942742.61360976,75942742.61360976,10143787.975456623
7,11179494.18940923,31640833.535442177,biomass_boiler,0.35332489508807113,1000,0.85,0.3,0.0,28476750.18189796,28476750.18189796,3353848.256822769
8,24704454.923808135,66111177.05538133,biomass_boiler,0.3736804580428694,1000,0.85,0.3,0.0,59500059.3498432,59500059.3498432,7411336.47714244
9,84150158.01863448,243305024.09066793,biomass_boiler,0.34586280465493313,1000,0.85,0.3,0.0,218974521.68160114,218974521.68160114,25245047.405590344
10,25847668.11952113,62573753.187427334,biomass_boiler,0.4130752400627071,1000,0.85,0.42,0.0,56316377.868684605,56316377.868684605,10856020.610198874
11,33372535.946215697,82352111.05502667,biomass_boiler,0.4052420213480208,1000,0.85,0.437,0.0,74116899.949524,74116899.949524,14583798.20849626
12,23056295.38546069,56462717.819151334,biomass_boiler,0.40834547602383264,1000,0.85,0.437,0.0,50816446.0372362,50816446.0372362,10075601.083446322
13,20608333.051978674,48421712.318001635,biomass_boiler,0.42560107987583823,1000,0.85,0.345,0.0,43579541.086201474,43579541.086201474,7109874.902932642
14,8503948.991471073,20425334.115453497,biomass_boiler,0.41634320121290525,1000,0.85,0.3,0.0,18382800.70390815,18382800.70390815,2551184.697441322
15,24205605.037873805,62990849.69155259,biomass_boiler,0.38427176576282807,1000,0.85,0.343,0.0,56691764.72239733,56691764.72239733,8302522.527990716
16,43763313.45497346,130485922.82514577,biomass_boiler,0.33538723953860783,1000,0.85,0.3,0.0,117437330.5426312,117437330.5426312,13128994.036492037
17,7841473.790876522,20063529.77012041,biomass_boiler,0.3908322155034967,1000,0.85,0.3,0.0,18057176.793108366,18057176.793108366,2352442.1372629562
18,10464371.932592759,31754128.817951996,biomass_boiler,0.3295436632063038,1000,0.85,0.3,0.0,28578715.9361568,28578715.9361568,3139311.5797778275
19,3817721.8678681725,7426959.592716466,biomass_boiler,0.5140356319714151,1000,0.85,0.3,0.0,6684263.63344482,6684263.63344482,1145316.5603604517
20,12624785.344232261,37635828.1352742,biomass_boiler,0.3354459293111628,1000,0.85,0.3,0.0,33872245.32174678,33872245.32174678,3787435.603269678
21,6890606.190975267,20042861.47083676,biomass_boiler,0.3437935347206486,1000,0.85,0.3,0.0,18038575.323753085,18038575.323753085,2067181.8572925802
