gis_x;gis_y;fecha_alta;distrito;barrio;calle;num_finca;tipo_elemento;codigo;num_puerta;id_camara;longitud;latitud;direccion
439848,2389975990;4475647,7427387400;2018-11-30;01  CENTRO;01-05 UNIVERSIDAD;CONDE DUQUE, CALLE, DEL;44;Cámaras;Camara Salida;76;76 s;-3.7091436;40.4292931;CONDE DUQUE, CALLE, DEL, 44
439557,8223309330;4475644,2427387400;2018-11-30;01  CENTRO;01-05 UNIVERSIDAD;MARTIRES DE ALCALA, CALLE, DE LOS;9;Cámaras;Camara Salida;77;77.1 s;-3.7125668;40.4292405;MARTIRES DE ALCALA, CALLE, DE LOS, 9
439555,0723309330;4475645,8260720700;2018-11-30;01  CENTRO;01-05 UNIVERSIDAD;MARTIRES DE ALCALA, CALLE, DE LOS;9;Cámaras;Camara Salida;77;77.2 s;-3.7125994;40.4292547;MARTIRES DE ALCALA, CALLE, DE LOS, 9
439552,5723309330;4475647,0760720700;2018-11-30;01  CENTRO;01-05 UNIVERSIDAD;MARTIRES DE ALCALA, CALLE, DE LOS;9;Cámaras;Camara Salida;77;77.3 s;-3.712629;40.4292657;MARTIRES DE ALCALA, CALLE, DE LOS, 9
439551,5306642660;4475314,9510720700;2018-11-30;01  CENTRO;01-05 UNIVERSIDAD;DUQUE DE LIRIA, CALLE, DEL;6;Cámaras;Camara Salida;78;78 s;-3.7126097;40.4262737;DUQUE DE LIRIA, CALLE, DEL, 6
439675,6556642660;4475141,7010720700;2018-11-30;01  CENTRO;01-05 UNIVERSIDAD;SAN LEONARDO, CALLE, DE;10;Cámaras;Camara Salida;79;79 s;-3.71113;40.424722;SAN LEONARDO, CALLE, DE, 10
439746,7389975990;4474958,4927387400;2018-12-03;01  CENTRO;01-05 UNIVERSIDAD;GRAN VIA, CALLE;76;Cámaras;Camara Salida;80;80.1 s;-3.7102748;40.4230767;GRAN VIA, CALLE, 76
439745,0723309330;4474955,8260720700;2018-11-30;01  CENTRO;01-05 UNIVERSIDAD;GRAN VIA, CALLE;76;Cámaras;Camara Salida;80;80.2 s;-3.7102942;40.4230526;GRAN VIA, CALLE, 76
439523,5306642660;4474299,3260720700;2018-11-30;01  CENTRO;01-01 PALACIO;REQUENA, CALLE, DE;7;Cámaras;Camara Salida;82;82 s;-3.7128432;40.4171225;REQUENA, CALLE, DE, 7
439515,7806642660;4474081,5760720700;2018-11-30;01  CENTRO;01-01 PALACIO;MAYOR, CALLE;86;Cámaras;Camara Salida;83;83.1 s;-3.7129138;40.4151604;MAYOR, CALLE, 86
439516,4056642660;4474078,5760720700;2018-11-30;01  CENTRO;01-01 PALACIO;MAYOR, CALLE;86;Cámaras;Camara Salida;83;83.2 s;-3.7129061;40.4151334;MAYOR, CALLE, 86
439248,9889975990;4473949,7427387400;2018-12-05;01  CENTRO;01-01 PALACIO;SEGOVIA, CALLE, DE;37;Cámaras;Camara Salida;84;84 s;-3.7160456;40.4139532;SEGOVIA, CALLE, DE, 37
439471,1556642660;4473850,8260720700;2018-11-30;01  CENTRO;01-01 PALACIO;MORERIA, CALLE, DE LA;11;Cámaras;Camara Salida;85;85 s;-3.7134177;40.4130784;MORERIA, CALLE, DE LA, 11
439403,4056642660;4473718,4094054000;2018-11-30;01  CENTRO;01-01 PALACIO;DON PEDRO, CALLE, DE;18;Cámaras;Camara Salida;86;86 s;-3.7142036;40.4118806;DON PEDRO, CALLE, DE, 18
439405,1556642660;4473641,0760720700;2018-11-30;01  CENTRO;01-01 PALACIO;VISTILLAS, TRAVESIA, DE LAS;2;Cámaras;Camara Salida;87;87 s;-3.7141756;40.4111841;VISTILLAS, TRAVESIA, DE LAS, 2
439466,8223309330;4473592,5760720700;2018-11-30;01  CENTRO;01-01 PALACIO;SAN FRANCISCO, CARRERA, DE;16;Cámaras;Camara Salida;88;88 s;-3.7134443;40.4107517;SAN FRANCISCO, CARRERA, DE, 16
439428,4889975990;4473411,9094054000;2018-11-30;01  CENTRO;01-01 PALACIO;SAN BERNABE, CALLE, DE;13;Cámaras;Camara Salida;89;89 s;-3.7138788;40.4091213;SAN BERNABE, CALLE, DE, 13
439537,4056642660;4473343,9510720700;2018-11-30;01  CENTRO;01-01 PALACIO;ISABEL TINTERO, CALLE, DE;2;Cámaras;Camara Salida;90;90 s;-3.7125888;40.408517;ISABEL TINTERO, CALLE, DE, 2
440897,5150000000;4474471,6980000000; 2024-08-08;01  CENTRO;01-11 SOL;ALCALA, CALLE, DE;42;Cámaras;Camara Entrada;201;201.1 e;-3.696665;40.418774;ALCALA, CALLE, DE, 42
440898,8480000000;4474468,5800000000; 2024-08-08;01  CENTRO;01-11 SOL;ALCALA, CALLE, DE;42;Cámaras;Camara Entrada;201;201.2 e;-3.696649;40.418746;ALCALA, CALLE, DE, 42
440901,4340000000;4474484,5440000000; 2024-08-08;01  CENTRO;01-11 SOL;ALCALA, CALLE, DE;41;Cámaras;Camara Entrada;200;200.1 e;-3.696620;40.418890;ALCALA, CALLE, DE, 41
440894,7350000000;4474495,6980000000; 2024-08-08;01  CENTRO;01-11 SOL;ALCALA, CALLE, DE;41;Cámaras;Camara Entrada;200;200.2 e;-3.696700;40.418990;ALCALA, CALLE, DE, 41
440900,3580000000;4474466,3480000000; 2024-08-08;01  CENTRO;01-11 SOL;ALCALA, CALLE, DE;42;Cámaras;Camara Entrada;201;201.3 e;-3.696631;40.418726;ALCALA, CALLE, DE, 42
