Año;Tipo territorio;Código territorio;Territorio;Tipo;Valor;Estado dato
1995;Municipios;0105;Alpedrete;Total;2379;
1995;Municipios;0112;Ambite;Total;620;
1995;Municipios;0127;Anchuelo;Total;297;
1995;Municipios;0133;Aranjuez;Total;3015;
1995;Municipios;0148;Arganda del Rey;Total;5581;
1995;Municipios;0151;Arroyomolinos;Total;596;
1995;Municipios;0164;Atazar (El);Total;125;
1995;Municipios;0170;Batres;Total;481;
1995;Municipios;0186;Becerril de la Sierra;Total;2192;
1995;Municipios;0199;Belmonte de Tajo;Total;678;
1995;Municipios;0210;Berrueco (El);Total;486;
1995;Municipios;0203;Berzosa del Lozoya;Total;144;
1995;Municipios;0225;Boadilla del Monte;Total;4390;
1995;Municipios;0231;Boalo (El);Total;1746;
1995;Municipios;0246;Braojos;Total;281;
1995;Municipios;0259;Brea de Tajo;Total;521;
1995;Municipios;0262;Brunete;Total;1107;
1995;Municipios;0278;Buitrago del Lozoya;Total;559;
1995;Municipios;0284;Bustarviejo;Total;1212;
1995;Municipios;0297;Cabanillas de la Sierra;Total;512;
1995;Municipios;0301;Cabrera (La);Total;1005;
1995;Municipios;0318;Cadalso de los Vidrios;Total;2119;
1995;Municipios;0323;Camarma de Esteruelas;Total;398;
1995;Municipios;0339;Campo Real;Total;1003;
1995;Municipios;0344;Canencia;Total;593;
1995;Municipios;0357;Carabaña;Total;1260;
1995;Municipios;0360;Casarrubuelos;Total;278;
1995;Municipios;0376;Cenicientos;Total;1661;
1995;Municipios;0382;Cercedilla;Total;2012;
1995;Municipios;0395;Cervera de Buitrago;Total;246;
1995;Municipios;0513;Chapinería;Total;715;
1995;Municipios;0528;Chinchón;Total;2247;
1995;Municipios;0409;Ciempozuelos;Total;2397;
1995;Municipios;0416;Cobeña;Total;716;
1995;Municipios;0468;Collado Mediano;Total;1625;
1995;Municipios;0474;Collado Villalba;Total;4490;
1995;Municipios;0437;Colmenar de Oreja;Total;2685;
1995;Municipios;0421;Colmenar del Arroyo;Total;628;
1995;Municipios;0455;Colmenar Viejo;Total;5551;
1995;Municipios;0442;Colmenarejo;Total;1090;
1995;Municipios;0480;Corpa;Total;288;
1995;Municipios;0493;Coslada;Total;3450;
1995;Municipios;0506;Cubas de la Sagra;Total;628;
1995;Municipios;0534;Daganzo de Arriba;Total;643;
1995;Municipios;0549;Escorial (El);Total;2672;
